Latitude, Longitude, Leg (km), Total (km), Height (meters), Type, Description
-37.78623,145.01338,0.000,0.000,0.00,Start,"Start"
-37.78847,145.01795,0.523,0.523,0.00,Left,"Turn left to stay on Main Yarra Trail."
-37.78764,145.02424,0.573,1.096,0.00,Slight Right,"Turn slight right onto walkway. Proceed southeast through Yarra Bend Park (See map for details)."
-37.78821,145.02555,0.232,1.328,0.00,Right,"Turn right."
-37.78817,145.02578,0.021,1.349,0.00,Slight Left,"Turn slight left onto walkway. Proceed east (See map for details)."
-37.78790,145.02679,0.095,1.445,0.00,Sharp Left,"Turn sharp left onto Main Yarra Trail."
-37.78729,145.02514,0.166,1.610,0.00,Left,"Turn left to stay on Main Yarra Trail."
-37.78729,145.02514,0.040,1.650,0.00,Right,"Turn right to stay on Main Yarra Trail."
-37.79021,145.04566,1.978,3.628,0.00,Slight Right,"Turn slight right onto Willsmere Walkway."
-37.79051,145.04844,0.250,3.878,0.00,Straight,"Willsmere Walkway becomes Main Yarra Trail."
-37.78166,145.06259,1.986,5.865,0.00,Straight,"Stay straight to go onto Koonung Creek Trail."
-37.78186,145.07804,1.826,7.691,0.00,Left,"Turn left to stay on Koonung Creek Trail."
-37.78090,145.07879,0.150,7.841,0.00,Right,"Turn right to stay on Koonung Creek Trail."
-37.78097,145.07879,0.008,7.849,0.00,Left,"Turn left to stay on Koonung Creek Trail."
-37.79179,145.10522,3.033,10.888,0.00,Finish,"Finish"
