Latitude, Longitude, Leg (km), Total (km), Height (meters), Type, Description
-37.78641,145.02534,0.000,0.000,0.00,Start,"Start"
-37.79176,145.02957,0.784,0.784,0.00,Slight Left,"Turn slight left onto Anniversary Trail."
-37.79943,145.05065,2.103,2.888,0.00,Right,"Turn right to stay on Anniversary Trail."
-37.80794,145.06224,1.541,4.429,0.00,Left,"Turn left onto Abercrombie Street."
-37.80797,145.06254,0.027,4.455,0.00,Right,"Turn right onto Anniversary Trail."
-37.82528,145.07104,2.159,6.614,0.00,Right,"Turn right to stay on Anniversary Trail."
-37.82985,145.07177,0.547,7.161,0.00,Right,"Turn right onto Prospect Hill Road."
-37.82975,145.07087,0.080,7.241,0.00,Left,"Turn left onto Spencer Road."
-37.83198,145.07046,0.250,7.491,0.00,Left,"Turn left onto Anniversary Trail."
-37.84707,145.07780,1.991,9.482,0.00,Right,"Turn right to stay on Anniversary Trail."
-37.84830,145.07806,0.168,9.650,0.00,Right,"Turn right to stay on Anniversary Trail."
-37.84830,145.07739,0.066,9.717,0.00,Sharp Left,"Turn sharp left to stay on Anniversary Trail."
-37.86314,145.08062,1.858,11.575,0.00,Right,"Turn right to stay on Anniversary Trail."
-37.86346,145.08004,0.086,11.661,0.00,Sharp Left,"Turn sharp left to stay on Anniversary Trail."
-37.87549,145.07357,1.574,13.235,0.00,Slight Right,"Turn slight right onto Gardiners Creek Trail."
-37.87517,145.07073,0.285,13.520,0.00,Left,"Turn left onto Scotchmans Creek Trail."
-37.87572,145.07121,0.091,13.610,0.00,Right,"Turn right to stay on Scotchmans Creek Trail."
-37.87706,145.07003,0.262,13.873,0.00,Right,"Turn right onto walkway. Proceed west (See map for details)."
-37.87716,145.06989,0.006,13.893,0.00,Finish,"Finish"
